growth_transitions,location,year,diseases,scenario,both,disability,mortality
FALSE,Global,2115,Infant,100% reduction,1365.9643536852445,171.54782785511017,1162.8136011699619
FALSE,Global,2116,Infant,100% reduction,1377.1828452581244,170.915527104331,1174.3515622463378
FALSE,Global,2117,Infant,100% reduction,1388.2865278068753,170.2753673393898,1185.7857023558788
FALSE,Global,2118,Infant,100% reduction,1399.268763758915,169.62731322912026,1197.1091708085032
FALSE,Global,2119,Infant,100% reduction,1410.122315045638,168.97276496636582,1208.3137528555965
FALSE,Global,2120,Infant,100% reduction,1420.8467645565233,168.31103661281108,1219.400074149782
FALSE,Global,2121,Infant,100% reduction,1431.4397317846594,167.6425921115427,1230.3653121325244
FALSE,Global,2122,Infant,100% reduction,1441.8971056062182,166.9675986464901,1241.2053004514694
FALSE,Global,2123,Infant,100% reduction,1452.2157372983056,166.28653484284305,1251.9164515809002
FALSE,Global,2124,Infant,100% reduction,1462.39163639933,165.60010372283267,1262.4940492959538
FALSE,Global,2125,Infant,100% reduction,1472.4203774313926,164.90882265063857,1272.9332100531865
FALSE,Global,2126,Infant,100% reduction,1482.3001499196826,164.213265503788,1283.231574755271
FALSE,Global,2127,Infant,100% reduction,1492.0296756520013,163.51386844308664,1293.3874243384696
FALSE,Global,2128,Infant,100% reduction,1501.6100984490108,162.81125111389161,1303.4012063404427
FALSE,Global,2129,Infant,100% reduction,1511.0434725368405,162.10616902842904,1313.2740664824762
FALSE,Global,2130,Infant,100% reduction,1520.3326655340577,161.39924629266358,1323.0081155905496
FALSE,Global,2131,Infant,100% reduction,1529.4813416551037,160.6910935804243,1332.6062540958176
FALSE,Global,2132,Infant,100% reduction,1538.492831834113,159.9820751509676,1342.071346203105
FALSE,Global,2133,Infant,100% reduction,1547.3722606328706,159.27274086439039,1351.4077923869656
FALSE,Global,2134,Infant,100% reduction,1556.1251501908598,158.56360792144204,1360.6204040625466
FALSE,Global,2135,Infant,100% reduction,1564.7568801802129,157.85504429206466,1369.714037116598
FALSE,Global,2136,Infant,100% reduction,1573.2728148805247,157.14738214903736,1378.6935763001813
FALSE,Global,2137,Infant,100% reduction,1581.6771698480215,156.44068851831722,1387.5630955438967
FALSE,Global,2138,Infant,100% reduction,1589.9749940315894,155.73511934834386,1396.3273795944785
FALSE,Global,2139,Infant,100% reduction,1598.1712645794669,155.0308563164892,1404.9911137079087
FALSE,Global,2140,Infant,100% reduction,1606.2701170437917,154.32792392591762,1413.558352576786
FALSE,Global,2141,Infant,100% reduction,1614.2752153900833,153.62633482388307,1422.0327083312272
