"","cause_name","cluster_4","daly_percent_condition","daly_percent_condcluster"
"285","Trichuriasis","Adult (early)",0.0100802352336681,0.0629513425679206
"286","Turner syndrome","Infant",0.000334675898596737,0.00124619660652545
"287","Typhoid fever","Infant",0.193507792409188,0.720544130150016
"288","Ulcerative colitis","Ageing-related",0.0431563631683996,0.103162297470757
"289","Unintentional firearm injuries","Adult (early)",0.0435871614327169,0.272203005912965
"290","Upper respiratory infections","Infant",0.223720964674128,0.833045666432748
"291","Urinary tract infections and interstitial nephritis","Ageing-related",0.220568603121566,0.527253970848908
"292","Urogenital congenital anomalies","Infant",0.0555547592318828,0.20686327495166
"293","Urolithiasis","Ageing-related",0.0353787362862097,0.084570419028494
"294","Urticaria","Infant",0.179880126719598,0.669800258815279
"295","Uterine cancer","Adult (late)",0.103678457792748,0.677725199902023
"296","Uterine fibroids","Ageing-related",0.00803231603092315,0.0192006952144654
"297","Varicella and herpes zoster","Ageing-related",0.0295833770750747,0.0707170141770218
"298","Vascular intestinal disorders","Ageing-related",0.0615446760647365,0.147118286013978
"299","Venomous animal contact","Infant",0.171079212183206,0.637029241016988
"300","Viral skin diseases","Adult (early)",0.064823345711962,0.404823552994363
"301","Visceral leishmaniasis","Infant",0.011887138481339,0.0442628575850701
"302","Vitamin A deficiency","Infant",0.0385781347282229,0.143649246288635
"303","Yellow fever","Infant",0.0110858772669945,0.041279287479056
"304","Zika virus","Infant",3.73018674792411e-06,1.38896947358926e-05
